3 1000
-20716.531250 7316.177246 38579.730469

-36667.695312 16995.982422 8799.377930
15784.237305 43534.363281 3025.320557
-21126.740234 7666.083008 38037.000000

-37141.628906 17600.761719 9224.981445
16041.574219 43269.554688 3163.068359
-21533.115234 8025.715820 37479.828125

-37594.675781 18206.658203 9663.941406
16293.200195 43000.546875 3303.999756
-21935.658203 8395.287109 36908.019531

-38026.253906 18812.892578 10116.676758
16539.009766 42727.402344 3448.113037
-22334.392578 8775.029297 36321.367188

-38435.722656 19418.636719 10583.634766
16778.892578 42450.183594 3595.405273
-22729.365234 9165.201172 35719.656250

-38822.375000 20023.003906 11065.289062
17012.740234 42168.957031 3745.871094
-23120.654297 9566.088867 35102.664062

-39185.421875 20625.037109 11562.142578
17240.437500 41883.781250 3899.503174
-23508.373047 9978.012695 34470.156250

-39523.972656 21223.701172 12074.724609
17461.869141 41594.718750 4056.291748
-23892.675781 10401.333984 33821.894531

-39837.031250 21817.861328 12603.589844
17676.917969 41301.835938 4216.224609
-24273.767578 10836.459961 33157.628906

-40123.460938 22406.269531 13149.315430
17885.460938 41005.195312 4379.286621
-24651.912109 11283.852539 32477.111328

-40381.972656 22987.541016 13712.494141
18087.376953 40704.867188 4545.459473
-25027.445312 11744.040039 31780.089844

-40611.089844 23560.125000 14293.725586
18282.537109 40400.914062 4714.721680
-25400.787109 12217.628906 31066.318359

-40809.121094 24122.275391 14893.601562
18470.812500 40093.406250 4887.047852
-25772.462891 12705.319336 30335.564453

-40974.109375 24672.007812 15512.683594
18652.072266 39782.417969 5062.408691
-26143.119141 13207.923828 29587.621094

-41103.796875 25207.050781 16151.468750
18826.181641 39468.023438 5240.770508
-26513.550781 13726.392578 28822.324219

-41195.550781 25724.785156 16810.341797
18993.003906 39150.296875 5422.094727
-26884.730469 14261.839844 28039.576172

-41246.304688 26222.177734 17489.500000
19152.400391 38829.320312 5606.338379
-27257.845703 14815.581055 27239.386719

-41252.480469 26695.687500 18188.849609
19304.232422 38505.183594 5793.453125
-27634.335938 15389.170898 26421.925781

-41209.894531 27141.167969 18907.847656
19448.357422 38177.972656 5983.384277
-28015.939453 15984.457031 25587.599609

-41113.667969 27553.755859 19645.275391
19584.632812 37847.785156 6176.071777
-28404.742188 16603.630859 24737.167969

-40958.144531 27927.755859 20398.912109
19712.919922 37514.722656 6371.449219
-28803.222656 17249.285156 23871.906250

-40736.843750 28256.541016 21165.072266
19833.080078 37178.894531 6569.444336
-29214.271484 17924.458984 22993.837891

-40442.507812 28532.519531 21937.968750
19944.974609 36840.417969 6769.979004
-29641.177734 18632.658203 22106.052734

-40067.324219 28747.238281 22708.875000
20048.474609 36499.417969 6972.968750
-30087.517578 19377.794922 21213.125000

-39603.460938 28891.769531 23465.121094
20143.453125 36156.031250 7178.324219
-30556.894531 20164.000000 20321.613281

-39044.105469 28957.562500 24189.107422
20229.792969 35810.394531 7385.952148
-31052.419922 20995.191406 19440.550781

-38385.144531 28937.949219 24857.775391
20307.384766 35462.664062 7595.756348
