3 1000
-500.000000 19.999998 7.999999
200.000000 49993.171875 2.828427
-250.000000 7.071067 49988.929688

-999.679565 60.013512 24.003735
399.918457 49979.511719 8.487097
-499.956329 21.217739 49966.781250

-1498.717041 120.061722 48.018372
599.673523 49959.007812 16.979475
-749.825195 42.448685 49933.542969

-1996.788574 200.173492 80.054520
799.182861 49931.652344 28.310690
-999.562683 70.776718 49889.195312

-2493.567627 300.385376 120.126236
998.363464 49897.433594 42.487549
-1249.124512 106.218857 49833.718750

-2988.723877 420.741699 168.251022
1197.131348 49856.332031 59.518570
-1498.466187 148.796387 49767.078125

-3481.922363 561.294556 224.449860
1395.401611 49808.324219 79.414001
-1747.542725 198.534943 49689.238281

-3972.822510 722.103943 288.747192
1593.088013 49753.390625 102.185867
-1996.308594 255.464584 49600.160156

-4461.078125 903.237732 361.171021
1790.102783 49691.500000 127.848007
-2244.717773 319.619904 49499.792969

-4946.334473 1104.771729 441.752777
1986.356445 49622.625000 156.416138
-2492.723389 391.040192 49388.082031

-5428.229980 1326.789795 530.527466
2181.757324 49546.730469 187.907898
-2740.277832 469.769562 49264.964844

-5906.393066 1569.383667 627.533691
2376.211914 49463.777344 222.342911
-2987.332764 555.857117 49130.375000

-6380.441406 1832.653564 732.813477
2569.624023 49373.722656 259.742889
-3233.838867 649.357178 48984.234375

-6849.981445 2116.707520 846.412537
2761.894775 49276.523438 300.131714
-3479.745605 750.329407 48826.460938

-7314.606445 2421.662109 968.380066
2952.921875 49172.128906 343.535461
-3725.000977 858.839172 48656.968750

-7773.895508 2747.642334 1098.768921
3142.600098 49060.484375 389.982666
-3969.552002 974.957703 48475.656250

-8227.413086 3094.781006 1237.635376
3330.820312 48941.535156 439.504272
-4213.344238 1098.762573 48282.417969

-8674.704102 3463.219727 1385.039429
3517.469482 48815.218750 492.133850
-4456.321289 1230.337769 48077.140625

-9115.296875 3853.108398 1541.044434
3702.429688 48681.464844 547.907776
-4698.425293 1369.774414 47859.703125

-9548.697266 4264.605469 1705.717163
3885.578125 48540.207031 606.865356
-4939.596191 1517.170898 47629.972656

-9974.389648 4697.876953 1879.127686
4066.786865 48391.367188 669.049011
-5179.771484 1672.633301 47387.808594

-10391.833008 5153.098145 2061.349365
4245.921875 48234.867188 734.504517
-5418.886719 1836.276367 47133.058594

-10800.458008 5630.451660 2252.458740
4422.842285 48070.617188 803.281189
-5656.875000 2008.223511 46865.562500

-11199.666992 6130.127930 2452.534912
4597.400391 47898.527344 875.432190
-5893.666016 2188.607910 46585.148438

-11588.829102 6652.325195 2661.659912
4769.440918 47718.500000 951.014771
-6129.186523 2377.572998 46291.628906

-11967.276367 7197.249512 2879.917480
4938.799805 47530.433594 1030.090698
-6363.359863 2575.273193 45984.808594

-12334.302734 7765.112793 3107.393555
5105.303223 47334.218750 1112.726562
-6596.104980 2781.875244 45664.480469

-12689.158203 8356.133789 3344.175049
5268.767578 47129.742188 1198.994019
-6827.337402 2997.558594 45330.421875

-13031.046875 8970.535156 3590.349609
5428.997070 46916.878906 1288.970703
-7056.967285 3222.517090 44982.394531

-13359.118164 9608.545898 3846.004150
5585.784180 46695.500000 1382.740234
-7284.899414 3456.959717 44620.144531

-13672.465820 10270.397461 4111.224609
5738.907227 46465.468750 1480.393066
-7511.032715 3701.112305 44243.402344

-13970.119141 10956.321289 4386.093262
5888.128906 46226.640625 1582.027344
-7735.259766 3955.219238 43851.882812

-14251.039062 11666.550781 4670.688477
6033.195312 45978.863281 1687.749268
-7957.465820 4219.545410 43445.281250

-14514.107422 12401.314453 4965.082031
6173.833496 45721.976562 1797.674438
-8177.527344 4494.376953 43023.273438

-14758.122070 13160.835938 5269.335938
6309.750000 45455.812500 1911.928345
-8395.311523 4780.025879 42585.511719

-14981.787109 13945.330078 5583.500488
6440.627930 45180.191406 2030.648071
-8610.673828 5076.830078 42131.628906

-15183.699219 14754.997070 5907.608398
6566.124512 44894.925781 2153.983154
-8823.458984 5385.157715 41661.238281

-15362.340820 15590.017578 6241.671387
6685.868164 44599.820312 2282.097656
-9033.497070 5705.410645 41173.921875

-15516.063477 16450.546875 6585.673828
6799.454102 44294.667969 2415.171387
