2 1000
0.000000 0.000001 0.000000
1000.000000 9900.000000 0.000000

0.000000 0.000003 0.000000
1989.849609 9699.511719 0.000000

0.000000 0.000006 0.000000
2959.201172 9399.105469 0.000000

0.000001 0.000010 0.000000
3897.625000 9000.465820 0.000000

0.000002 0.000015 0.000000
4794.740723 8506.435547 0.000000

0.000004 0.000021 0.000000
5640.358398 7921.041992 0.000000

0.000006 0.000028 0.000000
6424.632324 7249.500488 0.000000

0.000009 0.000035 0.000000
7138.221191 6498.198730 0.000000

0.000012 0.000043 0.000000
7772.450195 5674.652832 0.000000

0.000017 0.000052 0.000000
8319.471680 4787.437012 0.000000

0.000022 0.000062 0.000000
8772.418945 3846.085938 0.000000

0.000029 0.000071 0.000000
9125.543945 2860.969971 0.000000

0.000036 0.000082 0.000000
9374.339844 1843.145508 0.000000

0.000045 0.000092 0.000000
9515.635742 804.184692 0.000000

0.000055 0.000102 0.000000
9547.664062 -244.010498 0.000000

0.000065 0.000113 0.000000
9470.100586 -1289.404785 0.000000

0.000077 0.000123 0.000000
9284.063477 -2320.029785 0.000000

0.000090 0.000133 0.000000
8992.084961 -3324.180908 0.000000

0.000104 0.000143 0.000000
8598.052734 -4290.604492 0.000000

0.000119 0.000152 0.000000
8107.115234 -5208.670898 0.000000

0.000135 0.000161 0.000000
7525.572266 -6068.524902 0.000000

0.000151 0.000169 0.000000
6860.739746 -6861.214844 0.000000

0.000169 0.000176 0.000000
6120.802246 -7578.794922 0.000000

0.000187 0.000182 0.000000
5314.659180 -8214.399414 0.000000

0.000205 0.000188 0.000000
4451.767578 -8762.291992 0.000000

0.000225 0.000192 0.000000
3541.984375 -9217.889648 0.000000

0.000244 0.000196 0.000000
2595.418945 -9577.762695 0.000000

0.000264 0.000198 0.000000
1622.291870 -9839.616211 0.000000

0.000284 0.000200 0.000000
632.807068 -10002.255859 0.000000

0.000304 0.000201 0.000000
-362.963745 -10065.538086 0.000000

0.000324 0.000200 0.000000
-1355.182373 -10030.310547 0.000000

0.000343 0.000199 0.000000
-2334.331055 -9898.347656 0.000000

0.000363 0.000197 0.000000
-3291.286865 -9672.279297 0.000000

0.000382 0.000194 0.000000
-4217.381836 -9355.518555 0.000000

0.000401 0.000190 0.000000
-5104.453613 -8952.191406 0.000000

0.000419 0.000185 0.000000
-5944.882812 -8467.062500 0.000000

0.000437 0.000179 0.000000
-6731.625000 -7905.469727 0.000000

0.000455 0.000173 0.000000
-7458.232910 -7273.256348 0.000000

0.000471 0.000166 0.000000
-8118.872070 -6576.710449 0.000000

0.000487 0.000158 0.000000
-8708.333008 -5822.506836 0.000000

0.000502 0.000150 0.000000
-9222.040039 -5017.652832 0.000000

0.000517 0.000142 0.000000
-9656.053711 -4169.438477 0.000000

0.000530 0.000133 0.000000
-10007.077148 -3285.389160 0.000000

0.000543 0.000124 0.000000
-10272.456055 -2373.222168 0.000000

0.000555 0.000114 0.000000
-10450.179688 -1440.804199 0.000000

0.000565 0.000105 0.000000
-10538.883789 -496.112854 0.000000

0.000575 0.000095 0.000000
-10537.851562 452.802795 0.000000

0.000584 0.000086 0.000000
-10447.015625 1397.859619 0.000000

0.000593 0.000077 0.000000
-10266.960938 2330.978516 0.000000

0.000600 0.000068 0.000000
-9998.928711 3244.123291 0.000000

0.000606 0.000059 0.000000
-9644.818359 4129.340332 0.000000

0.000612 0.000050 0.000000
-9207.192383 4978.800781 0.000000

0.000617 0.000042 0.000000
-8689.279297 5784.846191 0.000000

0.000621 0.000035 0.000000
-8094.976562 6540.035645 0.000000

0.000624 0.000028 0.000000
-7428.849609 7237.197754 0.000000

0.000627 0.000021 0.000000
-6696.131836 7869.486328 0.000000

0.000629 0.000016 0.000000
-5902.716797 8430.442383 0.000000

0.000631 0.000011 0.000000
-5055.149414 8914.055664 0.000000

0.000632 0.000007 0.000000
-4160.607910 9314.836914 0.000000

0.000632 0.000004 0.000000
-3226.880859 9627.888672 0.000000

0.000633 0.000002 0.000000
-2262.333496 9848.983398 0.000000

0.000633 0.000000 0.000000
-1275.863770 9974.640625 0.000000

0.000633 -0.000000 0.000000
-276.847046 10002.205078 0.000000

0.000633 0.000001 0.000000
724.933167 9929.928711 0.000000

0.000633 0.000002 0.000000
1719.368286 9757.041992 0.000000

0.000633 0.000005 0.000000
2696.123047 9483.822266 0.000000

0.000634 0.000009 0.000000
3644.748291 9111.655273 0.000000

0.000634 0.000014 0.000000
4554.809570 8643.080078 0.000000

0.000636 0.000019 0.000000
5416.026367 8081.819336 0.000000

0.000638 0.000026 0.000000
6218.425781 7432.791016 0.000000

0.000640 0.000033 0.000000
6952.500977 6702.095703 0.000000

0.000644 0.000041 0.000000
7609.373535 5896.978516 0.000000

0.000648 0.000050 0.000000
8180.957520 5025.765625 0.000000

0.000653 0.000059 0.000000
8660.113281 4097.771973 0.000000

0.000660 0.000069 0.000000
9040.791992 3123.181152 0.000000

0.000667 0.000079 0.000000
9318.160156 2112.901367 0.000000

0.000675 0.000089 0.000000
9488.702148 1078.398560 0.000000

0.000684 0.000100 0.000000
9550.293945 31.513550 0.000000

0.000695 0.000110 0.000000
9502.249023 -1015.733276 0.000000

0.000707 0.000121 0.000000
9345.324219 -2051.341553 0.000000

0.000719 0.000131 0.000000
9081.701172 -3063.529053 0.000000

0.000733 0.000140 0.000000
8714.930664 -4040.921875 0.000000

0.000748 0.000150 0.000000
8249.847656 -4972.729004 0.000000

0.000763 0.000158 0.000000
7692.463379 -5848.900391 0.000000

0.000780 0.000167 0.000000
7049.835938 -6660.257812 0.000000

0.000797 0.000174 0.000000
6329.926758 -7398.604004 0.000000

0.000815 0.000181 0.000000
5541.447266 -8056.803223 0.000000

0.000833 0.000186 0.000000
4693.702148 -8628.834961 0.000000

0.000852 0.000191 0.000000
3796.434082 -9109.824219 0.000000

0.000871 0.000195 0.000000
2859.672363 -9496.045898 0.000000

0.000891 0.000198 0.000000
1893.592529 -9784.911133 0.000000

0.000911 0.000200 0.000000
908.384949 -9974.936523 0.000000

0.000931 0.000201 0.000000
-85.862427 -10065.696289 0.000000

0.000951 0.000201 0.000000
-1079.267944 -10057.767578 0.000000

0.000971 0.000200 0.000000
-2062.246338 -9952.666992 0.000000

0.000990 0.000198 0.000000
-3025.584961 -9752.783203 0.000000

0.001010 0.000195 0.000000
-3960.507324 -9461.301758 0.000000

0.001029 0.000191 0.000000
-4858.725586 -9082.136719 0.000000

0.001047 0.000186 0.000000
-5712.480957 -8619.860352 0.000000

0.001065 0.000181 0.000000
-6514.577148 -8079.632812 0.000000

0.001083 0.000175 0.000000
-7258.403809 -7467.137207 0.000000

0.001099 0.000168 0.000000
-7937.955566 -6788.518066 0.000000

0.001115 0.000161 0.000000
-8547.844727 -6050.323730 0.000000

0.001131 0.000153 0.000000
-9083.309570 -5259.450684 0.000000

0.001145 0.000144 0.000000
-9540.222656 -4423.093750 0.000000

0.001159 0.000135 0.000000
-9915.091797 -3548.699463 0.000000

0.001172 0.000126 0.000000
-10205.065430 -2643.920166 0.000000

0.001184 0.000117 0.000000
-10407.932617 -1716.573486 0.000000

0.001195 0.000108 0.000000
-10522.127930 -774.602234 0.000000

0.001205 0.000098 0.000000
-10546.730469 173.964539 0.000000

0.001215 0.000089 0.000000
-10481.468750 1121.049072 0.000000

0.001223 0.000079 0.000000
-10326.723633 2058.562744 0.000000

0.001231 0.000070 0.000000
-10083.530273 2978.444824 0.000000

0.001238 0.000061 0.000000
-9753.583984 3872.702148 0.000000

0.001243 0.000053 0.000000
-9339.245117 4733.451172 0.000000

0.001248 0.000044 0.000000
-8843.541992 5552.961914 0.000000

0.001253 0.000037 0.000000
-8270.173828 6323.706055 0.000000

0.001256 0.000030 0.000000
-7623.512695 7038.407227 0.000000

0.001259 0.000023 0.000000
-6908.603516 7690.098633 0.000000

0.001261 0.000017 0.000000
-6131.158691 8272.179688 0.000000

0.001263 0.000012 0.000000
-5297.549316 8778.484375 0.000000

0.001264 0.000008 0.000000
-4414.791504 9203.345703 0.000000

0.001265 0.000005 0.000000
-3490.522949 9541.671875 0.000000

0.001265 0.000002 0.000000
-2532.973145 9789.020508 0.000000

0.001266 0.000001 0.000000
-1550.921875 9941.679688 0.000000

0.001266 0.000000 0.000000
-553.645996 9996.746094 0.000000

0.001266 0.000000 0.000000
449.146362 9952.206055 0.000000

0.001266 0.000002 0.000000
1447.396118 9807.010742 0.000000

0.001266 0.000004 0.000000
2430.788574 9561.148438 0.000000

0.001266 0.000008 0.000000
3388.863770 9215.704102 0.000000

0.001267 0.000012 0.000000
4311.142090 8772.913086 0.000000

0.001268 0.000018 0.000000
5187.262695 8236.193359 0.000000

0.001270 0.000024 0.000000
6007.133301 7610.162109 0.000000

0.001272 0.000031 0.000000
6761.090332 6900.627930 0.000000

0.001276 0.000039 0.000000
7440.062012 6114.560547 0.000000

0.001280 0.000047 0.000000
8035.730957 5260.031250 0.000000

0.001285 0.000057 0.000000
8540.693359 4346.127441 0.000000

0.001291 0.000066 0.000000
8948.604492 3382.836914 0.000000

0.001297 0.000076 0.000000
9254.310547 2380.909668 0.000000

0.001305 0.000086 0.000000
9453.954102 1351.695190 0.000000

0.001315 0.000097 0.000000
9545.057617 306.962036 0.000000

0.001325 0.000107 0.000000
9526.571289 -741.295410 0.000000

0.001336 0.000118 0.000000
9398.892578 -1781.056152 0.000000

0.001348 0.000128 0.000000
9163.847656 -2800.471680 0.000000

