2 1000
0.000000 0.000000 0.000000
1000.000000 49996.000000 0.000000

0.000000 0.000000 0.000000
1999.920044 49988.000000 0.000000

0.000000 0.000000 0.000000
2999.680420 49976.007812 0.000000

0.000000 0.000000 0.000000
3999.201660 49960.035156 0.000000

0.000000 0.000001 0.000000
4998.405273 49940.093750 0.000000

0.000000 0.000001 0.000000
5997.213379 49916.203125 0.000000

0.000000 0.000001 0.000000
6995.549805 49888.382812 0.000000

0.000000 0.000001 0.000000
7993.338867 49856.660156 0.000000

0.000000 0.000002 0.000000
8990.506836 49821.066406 0.000000

0.000000 0.000002 0.000000
9986.982422 49781.632812 0.000000

0.000000 0.000003 0.000000
10982.695312 49738.394531 0.000000

0.000000 0.000003 0.000000
11977.576172 49691.394531 0.000000

0.000000 0.000004 0.000000
12971.560547 49640.671875 0.000000

0.000000 0.000004 0.000000
13964.584961 49586.273438 0.000000

0.000000 0.000005 0.000000
14956.587891 49528.250000 0.000000

0.000001 0.000005 0.000000
15947.510742 49466.648438 0.000000

0.000001 0.000006 0.000000
16937.296875 49401.523438 0.000000

0.000001 0.000007 0.000000
17925.894531 49332.929688 0.000000

0.000001 0.000007 0.000000
18913.251953 49260.925781 0.000000

0.000001 0.000008 0.000000
19899.322266 49185.570312 0.000000

0.000001 0.000009 0.000000
20884.060547 49106.921875 0.000000

0.000001 0.000010 0.000000
21867.423828 49025.039062 0.000000

0.000002 0.000011 0.000000
22849.375000 48939.988281 0.000000

0.000002 0.000011 0.000000
23829.875000 48851.832031 0.000000

0.000002 0.000012 0.000000
24808.890625 48760.632812 0.000000

0.000002 0.000013 0.000000
25786.392578 48666.457031 0.000000

0.000002 0.000014 0.000000
26762.349609 48569.367188 0.000000

0.000003 0.000015 0.000000
27736.738281 48469.429688 0.000000

0.000003 0.000016 0.000000
28709.533203 48366.710938 0.000000

0.000003 0.000017 0.000000
29680.714844 48261.273438 0.000000

0.000003 0.000018 0.000000
30650.265625 48153.179688 0.000000

0.000004 0.000020 0.000000
31618.167969 48042.500000 0.000000

0.000004 0.000021 0.000000
32584.408203 47929.292969 0.000000

0.000005 0.000022 0.000000
33548.976562 47813.625000 0.000000

0.000005 0.000023 0.000000
34511.859375 47695.558594 0.000000

0.000005 0.000024 0.000000
35473.050781 47575.152344 0.000000

0.000006 0.000025 0.000000
36432.546875 47452.468750 0.000000

0.000006 0.000027 0.000000
37390.339844 47327.570312 0.000000

0.000007 0.000028 0.000000
38346.429688 47200.515625 0.000000

0.000007 0.000029 0.000000
39300.812500 47071.363281 0.000000

0.000007 0.000031 0.000000
